,Phones & Accessories,Price
131,Lenovo XT92 Gaming Headset Low Latency Touch Bluetooth 5.1 Headset HiFi Stereo black,GH₵ 67.20
132,Wireless Bluetooth Earphone For iPhone Samsung Pods - Pink,GH₵ 37.00
133,Lenovo XT89 Wireless Bluetooth Earbuds Headphone headset,GH₵ 65.00
134,New I5 Smartwatch - Pink,GH₵ 51.00
135,Bluetooth Speaker Wireless Bass outdoor portable waterproof Subwoofer,GH₵ 55.68
136,116Plus Digital Smart Watch 116 Plus- Black,GH₵ 35.00
137,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
138,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 108.00
139,Smart Bluetooth watches for ios and Android bands,GH₵ 36.00
140,LED Bluetooth headset noise reduction stereo headset,GH₵ 42.00
141,Smart watch can install SIM card-call watch,GH₵ 52.00
142,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 71.00
143,i 7s  t w s  wireless bluetooth headset white,GH₵ 29.00
144,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00
